trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
354,False,"{'a': 0.24631423490006774, 'e': 0.05561925301154824}",25,17,15.398745883921492,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.24582209873048255, 'e': 0.05520053778293432}",20,0,26.96898419814598,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
356,False,"{'a': 0.24533094584962006, 'e': 0.054784791881379635}",30,11,27.557610198663124,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.2448407742928681, 'e': 0.05437199699575812}",20,13,13.006909751186363,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.24435158209953975, 'e': 0.053962134886445745}",20,12,1.9800267830947398,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.2438633673128656, 'e': 0.05355518738570608}",35,11,29.672685387013765,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.24337612797998584, 'e': 0.05315113639806379}",20,15,8.169055628924994,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.2428898621519425, 'e': 0.052749963900663444}",20,13,13.447444294050452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.24240456788367162, 'e': 0.052351651943615796}",20,15,11.253041814039307,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.2419202432339955, 'e': 0.05195618265033075}",20,10,21.597745946178406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.24143688626561488, 'e': 0.051563538217837435}",25,8,34.4996296829083,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.24095449504510122, 'e': 0.051173700917091614}",20,11,15.443589809905387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.240473067642889, 'e': 0.050786653093270906}",30,18,25.75726030233342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.239992602133268, 'e': 0.05040237716605667}",20,13,14.447612144617318,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.23951309659437556, 'e': 0.0500208556299051}",20,6,22.997879213236423,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.2390345491081888, 'e': 0.049642071054305514}",25,20,10.732807901116393,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.2385569577605172, 'e': 0.04926600608402676}",20,6,26.594227794536994,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.2380803206409947, 'e': 0.048892643439351624}",30,20,22.323686434888646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.23760463584307223, 'e': 0.04852196591630187}",20,6,27.3792176445693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.23712990146400995, 'e': 0.04815395638684894}",20,12,14.638390667339984,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.23665611560486965, 'e': 0.04778859779911593}",25,17,16.747628086905742,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.23618327637050734, 'e': 0.047425873177566635}",20,5,22.00863633654788,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.23571138186956545, 'e': 0.047065765623186984}",25,4,34.037944661627485,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.23524043021446528, 'e': 0.046708258313650775}",20,0,27.059596065124175,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.23477041952139963, 'e': 0.04635333450348078}",20,8,22.4605896979391,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.23430134791032511, 'e': 0.04600097752419463}",20,12,14.607186262415485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.23383321350495462, 'e': 0.045651170784443806}",30,0,28.73546446656617,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
381,False,"{'a': 0.23336601443274993, 'e': 0.045303897770140655}",20,16,9.185537522483294,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.23289974882491413, 'e': 0.04495914204457707}",20,11,10.568995085565476,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.23243441481638413, 'e': 0.044616887248532744}",20,10,9.711941034592371,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
384,False,"{'a': 0.23197001054582336, 'e': 0.04427711710037352}",35,13,40.408810309917136,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.23150653415561404, 'e': 0.043939815396141224}",25,15,15.412679277374519,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.23104398379185, 'e': 0.04360496600963426}",25,13,20.52132573407559,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.2305823576043292, 'e': 0.04327255289247811}",25,10,28.151543784410922,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.23012165374654628, 'e': 0.042942560074188396}",20,7,23.033383055875763,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.22966187037568517, 'e': 0.0426149716622245}",25,2,34.736247013272894,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.22920300565261176, 'e': 0.04228977184203375}",20,7,22.2306825054652,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.22874505774186657, 'e': 0.04196694487708941}",20,12,11.470421408424253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.22828802481165736, 'e': 0.0416464751089175}",25,12,20.698529904832775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.22783190503385176, 'e': 0.04132834695711762}",20,10,18.24669639356861,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.22737669658397008, 'e': 0.04101254491937556}",25,12,24.62749130139353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.22692239764117791, 'e': 0.040699053571466415}",25,17,13.5495355690631,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.22646900638827885, 'e': 0.04038785756725205}",20,10,5.993674352080796,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.22601652101170733, 'e': 0.040078941638668986}",20,14,9.139722600729069,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.22556493970152117, 'e': 0.03977229059571097}",20,8,15.344359374437303,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.22511426065139462, 'e': 0.039467889326402106}",20,0,30.972638729881268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
400,False,"{'a': 0.22466448205861078, 'e': 0.039165722796764335}",30,19,6.293049252473496,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
401,False,"{'a': 0.22421560212405475, 'e': 0.03886577605077712}",25,15,15.8763940093322,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.22376761905220618, 'e': 0.03856803421033017}",25,17,16.319865300563848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.22332053105113217, 'e': 0.03827248247516968}",30,10,23.775713371933783,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
404,False,"{'a': 0.2228743363324801, 'e': 0.03797910612283795}",20,4,25.74699271232087,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.22242903311147055, 'e': 0.03768789050860588}",20,10,20.51061703656372,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.22198461960689003, 'e': 0.0373988210653996}",20,14,12.886313968407697,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.22154109404108388, 'e': 0.03711188330372084}",25,20,9.029446953108891,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.22109845463994932, 'e': 0.036827062811560674}",25,17,13.336107668264562,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.22065669963292808, 'e': 0.036544345254307276}",30,9,31.520376182423046,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.22021582725299962, 'e': 0.036263716374648314}",25,0,32.235775349879944,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
411,False,"{'a': 0.21977583573667378, 'e': 0.03598516199246715}",30,16,21.55975744015429,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.2193367233239839, 'e': 0.035708668004732824}",30,16,26.410866104982546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.2188984882584798, 'e': 0.03543422038538546}",25,15,15.159181350721443,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.21846112878722057, 'e': 0.03516180518521517}",20,0,1.7450905952961726,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
415,False,"{'a': 0.21802464316076778, 'e': 0.03489140853173689}",25,15,-12.526570557238271,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
416,False,"{'a': 0.21758902963317833, 'e': 0.03462301662905809}",20,6,25.263243936006827,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.21715428646199755, 'e': 0.034356615757743514}",20,11,16.715343258479013,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.21672041190825214, 'e': 0.03409219227467353}",35,23,22.07971534913404,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.21628740423644333, 'e': 0.033829732612897345}",20,11,12.744274465348877,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.21585526171453986, 'e': 0.033569223281482485}",25,14,18.381155084212672,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.21542398261397103, 'e': 0.03331065086535889}",30,18,24.572699610313553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.2149935652096199, 'e': 0.033054002025158624}",25,17,-27.260316308566978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
423,False,"{'a': 0.21456400777981627, 'e': 0.03279926349705031}",20,16,5.2029029497339945,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.21413530860632984, 'e': 0.032546422092570526}",25,15,16.395965313657186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.21370746597436335, 'e': 0.03229546469845057}",25,11,23.865780864675415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.2132804781725457, 'e': 0.03204637827643719}",30,19,21.301605744616666,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.2128543434929251, 'e': 0.031799149863112164}",35,21,25.16910122560332,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
