trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,True,"{'a': 0, 'e': 0}",20,0,-24.96952636958955,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,True,"{'a': 0, 'e': 0}",20,0,19.272986643220648,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0, 'e': 0}",20,0,32.41985224412411,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0, 'e': 0}",20,14,8.473761829821557,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,0,3.2664918771739937,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,True,"{'a': 0, 'e': 0}",30,10,32.68950531740824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",25,7,20.649736691060543,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",30,0,-3.0551822182811734,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
33,True,"{'a': 0, 'e': 0}",25,5,26.929490768281376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",20,5,-59.49874425910891,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
35,True,"{'a': 0, 'e': 0}",20,5,25.59881051368193,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",30,0,33.0911556787748,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
37,True,"{'a': 0, 'e': 0}",30,0,-53.101362958353334,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
38,True,"{'a': 0, 'e': 0}",25,5,4.544517336414115,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,3,24.657874478412214,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",30,2,-5.103177203215477,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,True,"{'a': 0, 'e': 0}",20,0,15.523853672476468,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",30,13,26.148871555331297,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",20,7,-2.370505231700956,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",20,0,20.844751664973543,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
45,True,"{'a': 0, 'e': 0}",30,11,19.270219042866945,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,3,24.546969981591715,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",25,18,15.346123362554174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",25,5,27.77388679867061,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,0,21.76050930988333,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,True,"{'a': 0, 'e': 0}",30,14,-13.99861477532963,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
